lon,lat,Name,Description
90.71061599,23.37503096,DV15_3,
90.71604797,23.37890902,DV161,
90.71716997,23.37742902,DV162,
90.71791898,23.37568701,DV163,
90.72545003,23.39413097,DV171,
90.71968496,23.39216801,DV172,
90.71685104,23.38333801,DV173,
90.72359201,23.38587102,DV181,
90.724381,23.387491,DV182,
90.72647899,23.39063404,DV183,
90.74782602,23.38933996,DV251,
90.74608301,23.38632097,DV252,
90.75113101,23.38732998,DV253,
90.74926402,23.39464403,DV291,
90.74925296,23.39311902,DV292,
90.74888902,23.39100201,DV293,
90.743882,23.40757102,DV331,
90.74142602,23.41071599,DV332,
90.73840904,23.41036001,DV333,
90.72889298,23.41298003,DV341,
90.729299,23.41262204,DV342,
90.72231897,23.41831603,DV343,
90.713335,23.38621602,DV521,
90.71328898,23.38632801,DV522,
90.71246697,23.38734901,DV523,
90.71227703,23.387506,DV524,
90.708878,23.39160299,DV541,
90.71034802,23.39011696,DV542,
90.71055497,23.38823003,DV543,
90.714141,23.38946996,DV551,
90.71176196,23.389979,DV552,
90.71063602,23.392986,DV553,
90.71922303,23.40981603,DV631,
90.72166803,23.408575,DV632,
90.72199903,23.40715201,DV633,
90.71380799,23.39775296,DV671,
90.71445004,23.39945298,DV672,
90.71535604,23.40055302,DV673,
90.70122901,23.38454702,DV81_1,
90.70203602,23.383479,DV81_2,
90.702851,23.38214401,DV81_3,
90.69887797,23.38884098,DV84_1,
90.70154199,23.38849104,DV84_2,
90.70535199,23.38129702,DV84_3,
90.713551,23.40748502,DV891,
90.71476503,23.40343497,DV892,
90.71196003,23.39817398,DV893,
90.74076997,23.35732704,V211,
90.74277501,23.35731799,V212,
90.73829303,23.35771998,V213,
90.741883,23.35060501,V821,
90.73759398,23.34885604,V822,
90.73514219,23.35039445,V823,
90.73496299,23.35104698,V824,
90.73991099,23.35470099,V831,
90.74167002,23.35455003,V832,
90.74134598,23.35230201,V833,
90.75303898,23.35289503,VBB1,
90.75441898,23.34932903,VBB2,
90.74834897,23.34827802,VBB3,
90.692598,23.299536,XAV311,Waypoint no: 7
90.70721101,23.29976398,XAV315,POND SCHOOL
90.70213904,23.31270698,XAV316,POND SH
90.70222302,23.312768,XAV317,TUBE WELL
